Metric,DELTA,UNITED,AMERICAN,AVIANCA,LATAM,COPA
ASM,"298,045.00","311,185.00","292,948.00","44,363.13","106,757.50","32,408.00"
ASK,"476,872.00","497,896.00","468,716.80","70,981.00","170,812.00","51,852.80"
RPM,"249,578.00","258,503.00","248,795.00","35,315.63","90,068.75","28,210.00"
RPK,"399,324.80","413,604.80","398,072.00","56,505.00","144,110.00","45,136.00"
TOTAL RASK,$13.29,$11.46,$11.57,$8.09,$8.49,$6.98
PAX RASK,$10.86,$10.41,$10.58,$6.38,$7.38,$6.62
YIELD,$12.96,$12.53,$12.46,$8.02,$8.75,$7.60
CASK,$12.07,$10.44,$11.01,$6.96,$7.11,$5.40
CASK EX,$11.56,$9.82,$10.20,$5.02,$4.88,$3.60
FUEL CASK,$0.51,$0.62,$0.81,$1.94,$2.23,$1.80
PRASK,$1.22,$1.02,$0.56,$1.13,$1.38,$1.58
EBITDA,"$8,265.00","$7,653.00","$3,357.00","$1,250,783.00","$4,091,049.00","$1,184,096.00"
EBITDA/ASK,$17.33,$15.37,$7.16,$17.62,$23.95,$22.84
INTEREST,($679.00),"($1,373.00)","($1,716.00)","($558,573.00)","($721,416.00)","($98,393.00)"
EBITDA - INT,"$7,586.00","$6,280.00","$1,641.00","$692,210.00","$3,369,633.00","$1,085,703.00"
(EBITDA-INT)/ASK,$15.91,$12.61,$3.50,$9.75,$19.73,$20.94
INCR FUEL ASK,$0.51,$0.62,$0.81,$1.94,$2.23,$1.80
NEEDED INCREASE,4%,5%,7%,24%,26%,26%
