airline,year,quarter,metric,value,unit,source
AMERICAN,2024,FY,ASM,221445.0,millions,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,ASK,,,placeholder
AMERICAN,2024,FY,RPM,188120.0,millions,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,RPK,,,placeholder
AMERICAN,2024,FY,LOAD_FACTOR,0.85,decimal,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,TOTAL_RASK,18.31,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,PAX_RASK,18.6,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,YIELD,19.77,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,PRASK,0.67,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,CASK,17.64,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,CASK_EX,13.75,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,FUEL_CASK,4.03,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,OPERATING_REVENUE,40551000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,OPERATING_COST,39071000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,EBITDA,3357000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,EBITDA_MARGIN,,,placeholder
AMERICAN,2024,FY,DEPRECIATION,1424000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,NET_INCOME,256000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,INTEREST,1454000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,TOTAL_DEBT,,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,OPERATING_CASH_FLOW,,,placeholder
AMERICAN,2024,FY,NET_CASH_FLOW,,,placeholder
AMERICAN,2024,FY,FUEL_COST,9316000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,MAINTENANCE_COST,2823000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,SALARIES,11917000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,LANDING_FEES,2147940.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,ASM,224939.0,millions,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,ASK,468716.8,thousands,Image1-Consolidated-Metrics-ASK
AMERICAN,2025,FY,RPM,188698.0,millions,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,RPK,398072.0,thousands,Image1-Consolidated-Metrics-ASK
AMERICAN,2025,FY,LOAD_FACTOR,0.84,decimal,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,TOTAL_RASK,18.06,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,TOTAL_RASK,11.57,cents_per_ask,Image1-Consolidated-Metrics-ASK
AMERICAN,2025,FY,PAX_RASK,18.06,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,YIELD,19.6,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,PRASK,1.05,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,CASK,17.61,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,CASK_EX,13.58,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,FUEL_CASK,3.43,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,OPERATING_REVENUE,40634000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,OPERATING_COST,39619000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,EBITDA,3357000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,EBITDA_MARGIN,,,placeholder
AMERICAN,2025,FY,EBITDA_ASK,7.16,cents_per_ask,Image1-Consolidated-Metrics-ASK
AMERICAN,2025,FY,EBITDA_INT,1641000.0,thousands_USD,Image1-Consolidated-Metrics-ASK
AMERICAN,2025,FY,DEPRECIATION,1418000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,NET_INCOME,2309000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,INTEREST,1294000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,INTEREST,-1716000.0,thousands_USD,Image1-Consolidated-Metrics-ASK
AMERICAN,2025,FY,TOTAL_DEBT,,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,OPERATING_CASH_FLOW,,,placeholder
AMERICAN,2025,FY,NET_CASH_FLOW,,,placeholder
AMERICAN,2025,FY,FUEL_COST,8027000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,MAINTENANCE_COST,2876000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,SALARIES,13065000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,LANDING_FEES,2388910.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2025,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
AMERICAN,2024,FY,OPERATING_REVENUE,54204328.72,thousands_USD,bts-p12-fy2024
AMERICAN,2024,FY,OPERATING_COST,51549972.26,thousands_USD,bts-p12-fy2024
AMERICAN,2024,FY,NET_INCOME,1262372.04,thousands_USD,bts-p12-fy2024
AMERICAN,2024,FY,DEPRECIATION,1918817.45,thousands_USD,bts-p12-fy2024
AMERICAN,2025,FY,OPERATING_REVENUE,54626495.76,thousands_USD,bts-p12-fy2025
AMERICAN,2025,FY,OPERATING_COST,53114787.77,thousands_USD,bts-p12-fy2025
AMERICAN,2025,FY,NET_INCOME,564134.33,thousands_USD,bts-p12-fy2025
AMERICAN,2025,FY,DEPRECIATION,1884244.15,thousands_USD,bts-p12-fy2025
