airline,year,quarter,metric,value,unit,source
COPA,2024,FY,ASM,,thousands,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,ASK,48123.0,millions,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,RPM,,thousands,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,RPK,41546.0,millions,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,LOAD_FACTOR,0.86,decimal,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,TOTAL_RASK,7.16,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,PAX_RASK,6.84,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,YIELD,7.93,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,PRASK,1.56,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,CASK,5.6,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,CASK_EX,3.62,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,FUEL_CASK,,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,OPERATING_REVENUE,3446199.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,OPERATING_COST,2693247.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,EBITDA,1083662.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,EBITDA_MARGIN,0.3145,decimal,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,DEPRECIATION,330710.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,NET_INCOME,608114.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,INTEREST,-84493.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,TOTAL_DEBT,552335.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,OPERATING_CASH_FLOW,969729.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,NET_CASH_FLOW,406938.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,FUEL_COST,949309.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,MAINTENANCE_COST,105936.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,SALARIES,470644.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,LANDING_FEES,123115.0,thousands_USD,Image3-Avianca-LATAM-Copa-2024-2025
COPA,2024,FY,AIRPLANES,109.0,units,Image4-Avianca-LATAM-Copa-FY
COPA,2024,FY,DEPARTURES,146607.0,units,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,ASM,,thousands,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,ASK,51853.0,millions,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,RPM,,thousands,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,RPK,45136.0,millions,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,LOAD_FACTOR,0.88,decimal,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,TOTAL_RASK,6.98,usd_per_ask,Image1-Consolidated-Metrics-ASK
COPA,2025,FY,PAX_RASK,6.62,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,YIELD,7.6,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,PRASK,1.56,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,CASK,5.4,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,CASK_EX,3.6,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,FUEL_CASK,1.8,usd_per_ask,Image1-Consolidated-Metrics-ASK
COPA,2025,FY,OPERATING_REVENUE,3617822.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,OPERATING_COST,2798862.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,EBITDA,1184096.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,EBITDA_MARGIN,0.3273,decimal,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,EBITDA_ASK,22.84,cents_per_ask,Image1-Consolidated-Metrics-ASK
COPA,2025,FY,EBITDA_INT,1085703.0,thousands_USD,Image1-Consolidated-Metrics-ASK
COPA,2025,FY,DEPRECIATION,365136.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,NET_INCOME,671648.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
COPA,2025,FY,INTEREST,-98393.0,thousands_USD,Image1-Consolidated-Metrics-ASK
