airline,year,quarter,metric,value,unit,source
DELTA,2024,FY,ASM,216360.0,millions,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,ASK,,,placeholder
DELTA,2024,FY,RPM,185757.0,millions,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,RPK,,,placeholder
DELTA,2024,FY,LOAD_FACTOR,0.86,decimal,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,TOTAL_RASK,21.3,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,PAX_RASK,20.5,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,YIELD,20.8,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,PRASK,1.93,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,CASK,19.32,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,CASK_EX,15.45,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,FUEL_CASK,3.93,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,OPERATING_REVENUE,46084000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,OPERATING_COST,41906000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,EBITDA,6156000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,EBITDA_MARGIN,,,placeholder
DELTA,2024,FY,DEPRECIATION,1878000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,NET_INCOME,2014000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,INTEREST,687000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,TOTAL_DEBT,972500.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,OPERATING_CASH_FLOW,,,placeholder
DELTA,2024,FY,NET_CASH_FLOW,,,placeholder
DELTA,2024,FY,FUEL_COST,8157000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,MAINTENANCE_COST,1990000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,SALARIES,12035000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,LANDING_FEES,2347000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,ASM,225099.0,millions,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,ASK,476872.0,thousands,Image1-Consolidated-Metrics-ASK
DELTA,2025,FY,RPM,189717.0,millions,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,RPK,399324.8,thousands,Image1-Consolidated-Metrics-ASK
DELTA,2025,FY,LOAD_FACTOR,0.84,decimal,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,TOTAL_RASK,21.04,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,TOTAL_RASK,13.29,cents_per_ask,Image1-Consolidated-Metrics-ASK
DELTA,2025,FY,PAX_RASK,20.48,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,YIELD,20.48,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,PRASK,1.93,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,CASK,19.11,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,CASK_EX,15.55,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,FUEL_CASK,3.3,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,OPERATING_REVENUE,47301000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,OPERATING_COST,43046000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,EBITDA,6178000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,EBITDA_MARGIN,,,placeholder
DELTA,2025,FY,EBITDA_ASK,17.33,cents_per_ask,Image1-Consolidated-Metrics-ASK
DELTA,2025,FY,EBITDA_INT,7586000.0,thousands_USD,Image1-Consolidated-Metrics-ASK
DELTA,2025,FY,DEPRECIATION,1823000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,NET_INCOME,3780000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,INTEREST,521000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,INTEREST,-679000.0,thousands_USD,Image1-Consolidated-Metrics-ASK
DELTA,2025,FY,TOTAL_DEBT,986000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,OPERATING_CASH_FLOW,,,placeholder
DELTA,2025,FY,NET_CASH_FLOW,,,placeholder
DELTA,2025,FY,FUEL_COST,7439000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,MAINTENANCE_COST,1904000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,SALARIES,12928000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,LANDING_FEES,2536000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2025,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
DELTA,2024,FY,OPERATING_REVENUE,61790498.0,thousands_USD,bts-p12-fy2024
DELTA,2024,FY,OPERATING_COST,55778398.0,thousands_USD,bts-p12-fy2024
DELTA,2024,FY,NET_INCOME,3757390.0,thousands_USD,bts-p12-fy2024
DELTA,2024,FY,DEPRECIATION,2513118.0,thousands_USD,bts-p12-fy2024
DELTA,2025,FY,OPERATING_REVENUE,63569392.0,thousands_USD,bts-p12-fy2025
DELTA,2025,FY,OPERATING_COST,57822321.0,thousands_USD,bts-p12-fy2025
DELTA,2025,FY,NET_INCOME,5320798.0,thousands_USD,bts-p12-fy2025
DELTA,2025,FY,DEPRECIATION,2443080.0,thousands_USD,bts-p12-fy2025
