airline,year,quarter,metric,value,unit,source
JETBLUE,2024,FY,ASM,49940.0,millions,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,ASK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,RPM,41885.0,millions,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,RPK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,LOAD_FACTOR,0.835,decimal,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,TOTAL_RASK,14.02,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,PAX_RASK,13.05,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,YIELD,,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,PRASK,,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,CASK,15.42,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,CASK_EX,11.42,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,FUEL_CASK,4.03,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,OPERATING_REVENUE,7002000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,OPERATING_COST,6818000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,EBITDA,-213000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,EBITDA_MARGIN,,,placeholder
JETBLUE,2024,FY,DEPRECIATION,487000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,NET_INCOME,-751000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,INTEREST,215000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,TOTAL_DEBT,,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,OPERATING_CASH_FLOW,,,placeholder
JETBLUE,2024,FY,NET_CASH_FLOW,,,placeholder
JETBLUE,2024,FY,FUEL_COST,3322000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,MAINTENANCE_COST,442000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,SALARIES,2434000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,LANDING_FEES,2147940.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,ASM,49126.0,millions,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,ASK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,RPM,40600.0,millions,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,RPK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,LOAD_FACTOR,0.826,decimal,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,TOTAL_RASK,13.88,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,PAX_RASK,13.88,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,YIELD,,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,PRASK,,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,CASK,15.33,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,CASK_EX,11.42,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,FUEL_CASK,3.67,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,OPERATING_REVENUE,6818000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,OPERATING_COST,6574000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,EBITDA,244000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,EBITDA_MARGIN,,,placeholder
JETBLUE,2025,FY,EBITDA_ASK,,,placeholder
JETBLUE,2025,FY,EBITDA_INT,,,placeholder
JETBLUE,2025,FY,DEPRECIATION,512000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,NET_INCOME,-425000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,INTEREST,441000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,TOTAL_DEBT,,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,OPERATING_CASH_FLOW,,,placeholder
JETBLUE,2025,FY,NET_CASH_FLOW,,,placeholder
JETBLUE,2025,FY,FUEL_COST,3907000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,MAINTENANCE_COST,509000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,SALARIES,2579000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,LANDING_FEES,2388910.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2025,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
JETBLUE,2024,FY,OPERATING_REVENUE,9279496.95,thousands_USD,bts-p12-fy2024
JETBLUE,2024,FY,OPERATING_COST,9386252.52,thousands_USD,bts-p12-fy2024
JETBLUE,2024,FY,NET_INCOME,-794737.86,thousands_USD,bts-p12-fy2024
JETBLUE,2024,FY,DEPRECIATION,655361.46,thousands_USD,bts-p12-fy2024
JETBLUE,2025,FY,OPERATING_REVENUE,9062098.59,thousands_USD,bts-p12-fy2025
JETBLUE,2025,FY,OPERATING_COST,9525027.38,thousands_USD,bts-p12-fy2025
JETBLUE,2025,FY,NET_INCOME,-601693.74,thousands_USD,bts-p12-fy2025
JETBLUE,2025,FY,DEPRECIATION,687993.0,thousands_USD,bts-p12-fy2025
