airline,year,quarter,metric,value,unit,source
LATAM,2024,FY,ASM,,thousands,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,ASK,157931.0,millions,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,RPM,,thousands,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,RPK,133138.0,millions,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,LOAD_FACTOR,0.84,decimal,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,TOTAL_RASK,8.25,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,PAX_RASK,7.11,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,YIELD,8.44,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,PRASK,1.05,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,CASK,7.2,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,CASK_EX,4.69,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,FUEL_CASK,,usd_per_ask,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,OPERATING_REVENUE,13033712.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,OPERATING_COST,11373490.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,EBITDA,3107878.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,EBITDA_MARGIN,0.2384,decimal,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,DEPRECIATION,1447656.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,NET_INCOME,904194.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,INTEREST,-881950.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,TOTAL_DEBT,5192663.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,OPERATING_CASH_FLOW,3106327.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,NET_CASH_FLOW,371800.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,FUEL_COST,3970077.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,MAINTENANCE_COST,815916.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,SALARIES,1659687.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
LATAM,2024,FY,LANDING_FEES,1470057.0,thousands_USD,Image4-Avianca-LATAM-Copa-FY
