airline,year,quarter,metric,value,unit,source
SOUTHWEST,2024,FY,ASM,133717.0,millions,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,ASK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,RPM,108044.0,millions,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,RPK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,LOAD_FACTOR,0.81,decimal,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,TOTAL_RASK,15.37,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,PAX_RASK,13.96,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,YIELD,,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,PRASK,0.15,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,CASK,15.34,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,CASK_EX,11.54,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,FUEL_CASK,3.77,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,OPERATING_REVENUE,20553000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,OPERATING_COST,20510000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,EBITDA,1293000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,EBITDA_MARGIN,,,placeholder
SOUTHWEST,2024,FY,DEPRECIATION,1250000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,NET_INCOME,465000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,INTEREST,191000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,TOTAL_DEBT,,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,OPERATING_CASH_FLOW,,,placeholder
SOUTHWEST,2024,FY,NET_CASH_FLOW,,,placeholder
SOUTHWEST,2024,FY,FUEL_COST,4548000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,MAINTENANCE_COST,1046000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,SALARIES,9010000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,LANDING_FEES,1346370.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2024,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,ASM,133994.0,millions,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,ASK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,RPM,103875.0,millions,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,RPK,,thousands,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,LOAD_FACTOR,0.78,decimal,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,TOTAL_RASK,13.39,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,PAX_RASK,13.96,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,YIELD,,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,PRASK,0.09,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,CASK,15.36,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
SOUTHWEST,2025,FY,CASK_EX,11.93,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
