airline,year,quarter,metric,value,unit,source
UNITED,2024,FY,ASM,232887.0,millions,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,ASK,,,placeholder
UNITED,2024,FY,RPM,194040.0,millions,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,RPK,,,placeholder
UNITED,2024,FY,LOAD_FACTOR,0.83,decimal,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,TOTAL_RASK,18.19,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,PAX_RASK,19.87,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,YIELD,19.6,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,PRASK,1.54,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,CASK,19.11,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,CASK_EX,15.55,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,FUEL_CASK,3.9,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,OPERATING_REVENUE,42398000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,OPERATING_COST,38775000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,EBITDA,7653000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,EBITDA_MARGIN,,,placeholder
UNITED,2024,FY,DEPRECIATION,2169000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,NET_INCOME,2164000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,INTEREST,1260000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,TOTAL_DEBT,1381000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,OPERATING_CASH_FLOW,,,placeholder
UNITED,2024,FY,NET_CASH_FLOW,,,placeholder
UNITED,2024,FY,FUEL_COST,9080000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,MAINTENANCE_COST,2255000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,SALARIES,12353000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,LANDING_FEES,2536000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,ASM,246919.0,millions,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,ASK,497896.0,thousands,Image1-Consolidated-Metrics-ASK
UNITED,2025,FY,RPM,203374.0,millions,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,RPK,413604.8,thousands,Image1-Consolidated-Metrics-ASK
UNITED,2025,FY,LOAD_FACTOR,0.82,decimal,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,TOTAL_RASK,17.69,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,TOTAL_RASK,11.46,cents_per_ask,Image1-Consolidated-Metrics-ASK
UNITED,2025,FY,PAX_RASK,19.83,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,YIELD,19.83,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,PRASK,1.35,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,CASK,16.34,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,CASK_EX,12.75,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,FUEL_CASK,3.3,cents_per_ask,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,OPERATING_REVENUE,40349000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,OPERATING_COST,38775000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,EBITDA,7653000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,EBITDA_MARGIN,,,placeholder
UNITED,2025,FY,EBITDA_ASK,15.37,cents_per_ask,Image1-Consolidated-Metrics-ASK
UNITED,2025,FY,EBITDA_INT,6280000.0,thousands_USD,Image1-Consolidated-Metrics-ASK
UNITED,2025,FY,DEPRECIATION,2191000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,NET_INCOME,2309000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,INTEREST,1048000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,INTEREST,-1373000.0,thousands_USD,Image1-Consolidated-Metrics-ASK
UNITED,2025,FY,TOTAL_DEBT,1351000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,OPERATING_CASH_FLOW,,,placeholder
UNITED,2025,FY,NET_CASH_FLOW,,,placeholder
UNITED,2025,FY,FUEL_COST,8473000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,MAINTENANCE_COST,2374000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,SALARIES,13123000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,LANDING_FEES,2836000.0,thousands_USD,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,AIRPLANES,,units,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2025,FY,DEPARTURES,,thousands,Image2-Delta-United-American-JetBlue-Southwest
UNITED,2024,FY,OPERATING_REVENUE,57063344.07,thousands_USD,bts-p12-fy2024
UNITED,2024,FY,OPERATING_COST,51964403.75,thousands_USD,bts-p12-fy2024
UNITED,2024,FY,NET_INCOME,3151075.8,thousands_USD,bts-p12-fy2024
UNITED,2024,FY,DEPRECIATION,2821253.76,thousands_USD,bts-p12-fy2024
UNITED,2025,FY,OPERATING_REVENUE,59069644.65,thousands_USD,bts-p12-fy2025
UNITED,2025,FY,OPERATING_COST,54353926.68,thousands_USD,bts-p12-fy2025
UNITED,2025,FY,NET_INCOME,3354876.3,thousands_USD,bts-p12-fy2025
UNITED,2025,FY,DEPRECIATION,2800203.46,thousands_USD,bts-p12-fy2025
