NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-687645.00,-818953.00,,0.00,,321238.00,,,,2497.00,,,15195.00,,1541265.00,1880195.00,203986.00,141190.00,,228900.00,28858.00,160382.00,,56786.00,1879046.00,2699148.00,6489.00,-6559.00,-4568.00,0.00,,-38455.00,-43093.00,-862046.00,-174401.00,-687645.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,2
-577811.00,-761366.00,,0.00,,401285.00,,,,0.00,,,39498.00,,1736870.00,2177653.00,206285.00,149688.00,,284469.00,21533.00,104282.00,,94178.00,2078584.00,2939019.00,-1995.00,-7890.00,-13488.00,0.00,,10702.00,-12671.00,-774037.00,-196226.00,-577811.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,4
-540065.00,-730890.00,,0.00,,372797.00,,,,2302.00,,,34125.00,,1613563.00,2022787.00,191010.00,150829.00,,283128.00,25071.00,117006.00,,94849.00,1891784.00,2753677.00,-1080.00,-10232.00,6970.00,0.00,,19135.00,14793.00,-716097.00,-176032.00,-540065.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,3
-539748.67,-117804.23,1333272.28,0.00,,143.65,100659.46,,463.65,0.00,,8623.24,4988.12,0.00,110183.05,1558333.44,799886.03,157381.39,159208.60,291756.93,82629.11,70042.20,,114840.58,392.83,1676137.68,-37072.29,2993.58,-117.06,-933.36,-21662.17,-403747.00,-460538.30,-578342.53,-38593.87,-539748.67,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2024,1
-520092.14,-398791.62,543730.03,0.00,,0.00,110045.15,,0.00,0.00,,-1580.26,385919.11,0.00,748.96,1038862.98,611263.80,75788.40,74522.95,111302.51,44764.63,453045.98,0.00,66966.33,0.00,1437654.60,0.00,-38588.37,-137.33,0.00,0.00,-99698.12,-138423.83,-537215.44,-17123.30,-520092.14,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2024,4
-446885.00,-619214.00,,0.00,,345266.00,,,,3206.00,,,15850.00,,1552146.00,1916468.00,203932.00,146816.00,,209638.00,27078.00,147306.00,,59435.00,1741477.00,2535682.00,10461.00,-792.00,-6330.00,0.00,,105285.00,108624.00,-510590.00,-63705.00,-446885.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,1
-406248.43,-500721.12,1259141.55,0.00,,177.65,116583.17,,1332.36,0.00,,7425.32,6483.31,0.00,110160.51,1501303.86,927668.65,202931.39,193397.61,323482.77,97951.55,115902.18,,140276.33,414.51,2002024.98,-83127.54,2797.83,-473.46,1327.00,-2054.73,49826.87,-31704.04,-532425.16,-126176.72,-406248.43,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2024,3
-367296.54,-367296.54,952361.56,4610.22,,102940.20,9188.67,,0.00,0.00,,1500.47,114661.10,0.00,29013.96,1214276.18,673765.74,216530.17,131118.66,196581.81,70119.20,222650.67,0.00,66597.02,4209.44,1581572.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-367296.54,0.00,-367296.54,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2024,1
-280406.58,-268573.79,557033.48,0.00,,0.00,164375.66,,0.00,0.00,,-675.48,362480.41,0.00,1362.24,1084576.31,702249.35,81780.66,79446.82,120973.14,50452.25,242118.32,0.00,76129.56,0.00,1353150.09,0.00,-37709.29,21.65,0.00,0.00,0.00,-37687.65,-306261.43,-25854.85,-280406.58,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2024,3
-255716.00,-346438.00,,0.00,,728474.00,,,,20380.00,,,1969.00,,515494.00,1266317.00,363345.00,135572.00,,203479.00,30052.00,184487.00,,80776.00,615044.00,1612755.00,-2091.00,-831.00,-6643.00,0.00,,2401.00,-7164.00,-353602.00,-97886.00,-255716.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16197,P,3,3,2024,1
