YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2025,1,1,19393,WN,WN,Southwest Airlines Co.,3,0.00,154174740.00,154174740.00,0.00,0.00,1777883.00,1777883.00,155952623.00,0.00,3648.00,3648.00,0.00,0.00,0.00,0.00,0.00,3648.00,154178388.00,1777883.00,155956271.00,0.00,360316636.00,360316636.00,0.00,0.00,4945990.00,4945990.00,365262626.00,0.00,12009.00,12009.00,0.00,0.00,0.00,0.00,0.00,12009.00,360328645.00,4945990.00,365274635.00
2025,1,1,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,15061232.00,15061232.00,0.00,6066325.00,0.00,6066325.00,21127557.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15061232.00,6066325.00,21127557.00,0.00,41323236.00,41323236.00,0.00,13999120.00,0.00,13999120.00,55322356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41323236.00,13999120.00,55322356.00
2025,1,1,19790,DL,DL,Delta Air Lines Inc.,3,0.00,175919515.00,175919515.00,49593554.00,25599787.00,36406576.00,111599917.00,287519432.00,676.00,1935741.00,1936417.00,33953.00,14815.00,25604.00,0.00,74372.00,2010789.00,177855932.00,111674289.00,289530221.00,0.00,439377178.00,439377178.00,123865029.00,63938114.00,90929188.00,278732331.00,718109509.00,1928.00,4834474.00,4836402.00,84800.00,37001.00,63948.00,0.00,185749.00,5022151.00,444213580.00,278918080.00,723131660.00
2025,1,1,19805,AA,AA,American Airlines Inc.,3,0.00,172882296.00,172882296.00,37983863.00,15918214.00,50645641.00,104547718.00,277430014.00,0.00,530115.00,530115.00,384136.00,282425.00,242338.00,0.00,908899.00,1439014.00,173412411.00,105456617.00,278869028.00,0.00,396066127.00,396066127.00,86608279.00,36287165.00,122581082.00,245476526.00,641542653.00,0.00,1212369.00,1212369.00,878219.00,657486.00,572071.00,0.00,2107776.00,3320145.00,397278496.00,247584302.00,644862798.00
2025,1,1,19874,8C,8C,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170901.00,170901.00,21603.00,0.00,0.00,524251.00,545854.00,716755.00,170901.00,545854.00,716755.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,445596.00,445596.00,64028.00,0.00,0.00,1980080.00,2044108.00,2489704.00,445596.00,2044108.00,2489704.00
2025,1,1,19917,5X,5X,United Parcel Service,3,3000.00,50442000.00,50445000.00,14777000.00,21115000.00,1939000.00,37831000.00,88276000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50445000.00,37831000.00,88276000.00,8000.00,128278000.00,128286000.00,38033000.00,53332000.00,5286000.00,96651000.00,224937000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128286000.00,96651000.00,224937000.00
2025,1,1,19930,AS,AS,Alaska Airlines Inc.,3,1512636.00,49928489.00,51441125.00,0.00,0.00,2191903.00,2191903.00,53633028.00,110625.00,88633.00,199258.00,0.00,0.00,0.00,0.00,0.00,199258.00,51640383.00,2191903.00,53832286.00,3679372.00,133722203.00,137401575.00,0.00,0.00,6119345.00,6119345.00,143520920.00,269087.00,210167.00,479254.00,0.00,0.00,0.00,0.00,0.00,479254.00,137880829.00,6119345.00,144000174.00
2025,1,1,19977,UA,UA,United Air Lines Inc.,3,0.00,157246399.00,157246399.00,58564835.00,58227845.00,38900345.00,155693025.00,312939424.00,0.00,1409960.00,1409960.00,52957.00,358602.00,127518.00,12574.00,551651.00,1961611.00,158656359.00,156244676.00,314901035.00,0.00,366907032.00,366907032.00,137497303.00,134248061.00,95842682.00,367588046.00,734495078.00,0.00,3280806.00,3280806.00,136422.00,775153.00,307150.00,44676.00,1263401.00,4544207.00,370187838.00,368851447.00,739039285.00
2025,1,1,20007,5Y,5Y,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17457065.00,17457065.00,5035269.00,40631379.00,8044249.00,4933565.00,58644462.00,76101527.00,17457065.00,58644462.00,76101527.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44742189.00,44742189.00,15458276.00,99953192.00,21558587.00,16034086.00,153004141.00,197746330.00,44742189.00,153004141.00,197746330.00
